과자명,열량,나트륨,탄수화물,당류,지방,포화지방,단백질,내용량,calories,sodium,carbo,sugars,fat,satfat,protain
새우깡,150,200,18,1.8,8,6,2,30,5,6.67,0.6,0.06,0.27,0.2,0.07
허니버터칩,350,240,30,3,24,8,4,60,5.83,4,0.5,0.05,0.4,0.13,0.07
빈츠,45,15,5,3,2.3,1.4,1,8.5,5.29,1.76,0.59,0.35,0.27,0.16,0.12
오레오,250,200,33,18,12.3,6.5,2,50,5,4,0.66,0.36,0.25,0.13,0.04
버터링,470,210,49,18,28,14,6,86,5.47,2.44,0.57,0.21,0.33,0.16,0.07
빼빼로,260,200,37,14,10,6,5,54,4.81,3.7,0.69,0.26,0.19,0.11,0.09
구운감자,95,120,14,3,3.9,2.1,1,20,4.75,6,0.7,0.15,0.2,0.11,0.05
포카칩,167,115,15,0.4,11,4.1,2,30,5.57,3.83,0.5,0.01,0.37,0.14,0.07
꼬북칩,161,210,19,2,9,4,1,30,5.37,7,0.63,0.07,0.3,0.13,0.03
제크,245,400,33,4,11,6,3,50,4.9,8,0.66,0.08,0.22,0.12,0.06
자갈치,155,150,19,2,8,2.4,1.8,30,5.17,5,0.63,0.07,0.27,0.08,0.06
꿀꽈배기,150,75,21,8,7,2.2,1,30,5,2.5,0.7,0.27,0.23,0.07,0.03
마가렛트,220,120,26,11,12,6,2,44,5,2.73,0.59,0.25,0.27,0.14,0.05
초코송이,266,110,32,20,14,9,3,50,5.32,2.2,0.64,0.4,0.2,0.18,0.06
홈런볼,270,70,23,15,18,7,4,80,5.87,1.52,0.5,0.33,0.39,0.15,0.09
치토스,480,470,49,2.6,29,13,5.5,82,5.86,5.73,0.6,0.03,0.035,0.16,0.07
썬칩,416,340,51,6,20,9,6,80,5.2,4.25,0.64,0.08,0.25,0.11,0.07
꼬깔콘,410,310,42,4,25,8,4,72,5.69,4.31,0.58,0.06,0.35,0.11,0.06
