날짜,공연
2019-03-01,31.04931
2019-04-01,29.94233
2019-05-01,31.77656
2019-06-01,32.20496
2019-07-01,42.04926
2019-08-01,40.87604
2019-09-01,34.41
2019-10-01,40.04978
2019-11-01,48.70831
2019-12-01,67.01283
2020-01-01,42.74291
2020-02-01,24.59178
2020-03-01,20.25994
2020-04-01,19.73782
2020-05-01,21.28729
2020-06-01,19.71425
2020-07-01,28.2926
2020-08-01,26.5451
2020-09-01,18.30466
2020-10-01,27.88107
2020-11-01,30.25248
2020-12-01,14.4114
2021-01-01,17.83512
2021-02-01,24.57909
2021-03-01,41.03948
2021-04-01,44.05335
2021-05-01,44.00859
2021-06-01,50.52831
2021-07-01,38.91156
2021-08-01,40.47748
2021-09-01,40.87632
2021-10-01,55.17072
2021-11-01,76.91696
2021-12-01,65.10873
2022-01-01,54.24336
2022-02-01,41.35674
2022-03-01,48.16277
2022-04-01,57.30729
2022-05-01,73.55041
2022-06-01,79.89108
2022-07-01,77.72509
2022-08-01,70.77013
2022-09-01,62.72464
2022-10-01,79.72527
2022-11-01,85.27691
2022-12-01,100.0
2023-01-01,72.55346
2023-02-01,58.65817
2023-03-01,57.84586
